август	август	 N;SG;NDEF

ангушт	ангушт	N;SG

бадан	бадан	 N;SG;NDEF

банда	банда	 N;SG;NDEF

бародар	бародар	N;SG

баскетбол	баскетбол	 N;SG;NDEF

бел	бел	 N;SG;NDEF

биёбон	биёбон	N;SG

бод	бод	 N;SG;NDEF

бол	бол	 N;SG;NDEF

будан	будан	V;NFIN

бум	бум	 N;SG;NDEF

ватан	وطن	N;SG

вожа	вожа	N;SG

гол	гол	 N;SG;NDEF

гул	гул	 N;SG;NDEF

гурба	гурба	N;SG

дам	дам	 N;SG;NDEF

дар	дар	 N;SG;NDEF

дигарҷинсгаро	дигарҷинсгаро	N;SG

дил	дил	 N;SG;NDEF

дин	дин	 N;SG;NDEF

доктор	доктор	 N;SG;NDEF

дуд	дуд	 N;SG;NDEF

душман	душман	 N;SG;NDEF

дуҷинсгаро	дуҷинсгаро	N;SG

забон	забон	N;SG

зар	зар	 N;SG;NDEF

зоғ	зоғ	 N;SG;NDEF

калима	калима	N;SG

китоб	китоб	N;SG

кишвар	кишвар	N;SG

лола	лола	 N;SG;NDEF

луғат	луғат	N;SG

май	май	 N;SG;NDEF

мардум	мардум	N;SG

март	март	 N;SG;NDEF

мех	мех	 N;SG;NDEF

модар	модар	 N;SG;NDEF

мор	мор	 N;SG;NDEF

мост	мост	 N;SG;NDEF

нависанда	нависанда	N;SG

нам	нам	 N;SG;NDEF

ном	ном	 N;SG;NDEF

нур	нур	 N;SG;NDEF

ош	ош	 N;SG;NDEF

пар	пар	 N;SG;NDEF

парранда	парранда	N;SG

пул	пул	 N;SG;NDEF

ранг	ранг	N;SG

рафиқ	рафиқон	N;PL
рафиқ	рафиқ	N;SG

реша	реша	 N;SG;NDEF

рус	рус	 N;SG;NDEF

сабза	сабза	 N;SG;NDEF

саг	саг	 N;SG;NDEF

самъ	самъ	 N;SG;NDEF

сир	сир	 N;SG;NDEF

сифат	сифат	 N;SG;NDEF

сол	сол	 N;SG;NDEF

тир	тир	 N;SG;NDEF

тоҷик	тоҷикон	N;PL
тоҷик	тоҷик	N;SG

тут	тут	 N;SG;NDEF

уқоб	уқоб	N;SG

фил	фил	 N;SG;NDEF

фурӯшанда	фурӯшанда	N;SG

футбол	футбол	 N;SG;NDEF

хар	хар	 N;SG;NDEF

хонавода	хонавода	N;SG

хонанда	хонанда	N;SG

хук	хук	 N;SG;NDEF

ҳайвон	ҳайвон	N;SG

ҳамсоя	ҳамсоя	N;SG

ҳамҷинсгаро	ҳамҷинсгаро	N;SG

ҷавон	ҷавон	N;SG

ҷазира	ҷазира	N;SG



